item_name,Measure,Units,Grams
blueberry,1,unit,1.36
blueberry pie filling,1,g can,1.0
blueberry yogurt,1,g container,1.0
blueberry yogurt,1,unit,170.0
boneless skinless chicken breast,1,unit,189.0
brazil nut,1,unit,5.0
bread,1,g bag,1.0
bread,1,piece,27.0
bread,1,slice,25.0
bread crumb,1,handfuls,56.7
bread crumb,1,slice,28.35
breadcrumbs,1,slice,25.0
brewed coffee,1,oz,29.57
brewed coffee,1,packet,27.0
brewed espresso,1,double,29.6
brewed tea,1,cup,240.0
broccoli,1,crown,37.0
broccoli,1,g small,1.0
broccoli,1,head,608.0
broccoli,1,kg,1.0
broccoli,1,spear,37.0
brown gravy mix,1,packet,24.66
brown sugar,1,cup,212.0
brown sugar,1,g box,0.75
brown sugar,1,g can,0.75
brown sugar,1,g package,1.0
brown sugar,1,large,0.75
butter,1,g bag,1.0
butter,1,g box,0.96
butter,1,g can,0.96
butter,1,large,0.96
butter,1,medium,0.96
butter,1,package,0.96
butter,1,scoop,0.96
butter,1,slice,14.2
butter,1,tablespoon,14.0
butter,1,whole,0.96
butter lettuce,1,head,163.0
butter lettuce,1,small,163.0
butterfinger,1,large,60.0
butterfinger,1,unit,60.0
buttermilk,1,g can,1.04
buttermilk,1,g package,1.04
buttermilk,1,large,1.04
buttermilk,1,loaf,1.04
buttermilk,1,package,1.04
butternut squash,1,medium,140.0
cabbage,1,head,956.67
cabbage,1,medium,465.5
cabbage,1,small,714.0
candied cherry,1,cup,225.0
candy,1,can,57.0
candy,1,large,57.0
candy,1,unid,4.29
canned anchovies,1,g can,1.0
canned apricot,1,g can,0.6
canned apricot,1,unit,35.0
canned apricot in juice,1,g can,1.0
canned artichoke hearts,1,g can,1.0
canned artichoke hearts,1,g jar,1.0
canned asparagus,1,g can,1.0
canned baby lima beans,1,g package,1.0
canned beet root,1,small,82.0
canned black beans,1,g can,1.0
canned black eyed peas,1,g can,1.0
canned carrot,1,g can,1.0
canned cherry,1,g can,1.0
canned chickpeas,1,g can,1.0
canned corn kernel,1,g can,1.0
canned crushed tomatoes,1,g can,1.0
canned fruit cocktail,1,can,0.0
canned fruit cocktail,1,g can,1.0
canned fruit cocktail in juice,1,g can,1.0
canned green bean,1,g can,1.0
canned hearts of palm,1,g can,1.0
canned jalapeno,1,can,1600.0
canned kidney bean in juice,1,g can,1.0
canned mandarin,1,can,0.0
canned mandarin,1,g can,0.6
canned mandarin,1,sections,7.4
canned mandarin in juice,1,g can,1.0
canned mandarin orange,1,g can,1.0
canned maraschino cherry in juice,1,g jar,1.0
canned mixed bean in juice,1,g can,1.0
canned mushroom,1,can,70.0
canned mushroom,1,g can,1.0
canned navy beans,1,g canned,1.0
canned peach,1,g can,1.0
canned peach,1,slice,75.0
canned peach in juice,1,can,453.59
canned peach in juice,1,g can,1.0
canned pear in juice,1,g can,1.0
canned pears,1,g can,1.0
canned peas,1,g can,1.0
canned pineapple,1,g can,0.6
canned pineapple,1,large,0.7
canned pineapple,1,oz,17.01
canned pineapple,1,ring,70.0
canned pineapple,1,slice,83.0
canned pineapple in juice,1,g can,1.0
canned pineapple in juice,1,g canned,1.0
canned pumpkin,1,g can,1.0
canned raspberry in juice,1,g can,1.0
canned seasoning,1,can,1.2
canned strawberry in juice,1,g box,1.0
canned strawberry in juice,1,g package,1.0
canned tomato,1,g can,1.0
canned tomato,1,medium,123.0
canned tomatoes,1,g can,1.0
canned tomatoes,1,g canned,1.0
canned tomatoes with green chilies,1,g can,1.0
canned tomatoes with herbs,1,g can,1.0
canned tomatoes with onion and garlic,1,g can,1.0
canned tropical fruit,1,g can,1.0
canned tropical fruit in juice,1,g can,1.0
canned tuna,1,g can,1.0
canned white bean,1,g can,1.0
canned white bean in juice,1,g can,1.0
canola oil,1,g bottle,0.93
canola oil,1,g box,0.93
canola oil,1,g can,0.93
canola oil,1,large,0.93
cantaloupe,1,cube,10.0
cantaloupe,1,medium,552.0
cantaloupe,1,slice,55.2
cantaloupe,1,small,248.0
cantaloupe,1,unit,552.0
cardamom,1,unit,0.2
carrot,1,g can,1.0
carrot,1,g package,1.0
carrot,1,large,39.5
carrot,1,medium,61.0
carrot,1,slice,3.0
carrot,1,small,50.0
carrot,1,unit,61.0
carrot baby food,1,g jar,1.0
caster sugar,1,g bag,1.0
cauliflower,1,g package,0.45
cauliflower,1,head,564.33
cauliflower,1,small,265.0
celery,1,bunch,450.0
celery,1,large,64.0
celery,1,medium,40.33
celery,1,stalk,37.5
celery,1,stick,40.0
celery,1,unit,40.0
celery rib,1,large,40.33
celery rib,1,medium,40.33
celery rib,1,slice,40.0
celery rib,1,small,17.0
celery rib,1,unit,40.33
chai tea,1,teabag,2.0
chai tea mix,1,g package,1.0
chard,1,bunch,340.2
chard,1,leaf,26.0
cheddar cheese,1,clove,0.52
cheddar cheese,1,g package,1.0
cheddar cheese,1,large,0.96
cheddar cheese,1,small,0.52
cheese,1,g container,1.0
cheese,1,package,0.52
cheese tortellini,1,g package,1.0
cherry,1,g package,1.0
cherry drink mix,1,g package,1.0
cherry pie filling,1,g can,1.0
cherry tomato,1,unit,17.0
cherry yogurt,1,g container,1.0
chicken,1,g can,1.0
chicken,1,g package,1.0
chicken,1,whole,920.0
chicken breast,1,large,189.0
chicken breast,1,unit,189.0
chicken breast,1,whole,189.0
chicken gumbo soup,1,can,593.0
chicken noodle,1,g package,1.0
chicken stock,1,can,283.49
chicken stock,1,g can,1.0
chicken stock,1,g carton,1.0
chicken stock,1,g container,1.0
chicken stuffing mix,1,g package,1.0
chicken tenders,1,unit,37.0
chicken thigh,1,unit,85.0
chili pepper,1,g can,1.0
chili pepper,1,large,480.0
chili pepper,1,small,480.0
chive,1,bunch,3.0
chocolate,1,g can,0.56
chocolate,1,g container,1.0
chocolate,1,medium,1.0
chocolate,1,piece,7.0
chocolate,1,pieces,7.0
chocolate,1,unit,7.0
chocolate chip,1,g can,0.74
chocolate chip,1,g package,1.0
chocolate chip,1,handfull,174.33
chocolate chip,1,unit,1.5
chocolate chips,1,g package,0.74
chocolate chips,1,large,0.74
chocolate frozen yogurt,1,scoop,72.0
chocolate ice cream,1,scoop,66.0
chocolate milk mix,1,package,25.0
chocolate milk mix,1,packet,25.0
chocolate protein powder,1,scoop,32.0
chocolate pudding mix,1,g box,1.0
chocolate pudding mix,1,g package,1.0
chocolate shake powder,1,g can,1.0
chocolate shake powder,1,scoop,40.0
chocolate sorbet,1,scoop,102.0
chocolate wafers with a sweet cream filling,1,g package,1.0
chocolate wafers with a sweet cream filling,1,unit,11.33
chorizo,1,g package,1.0
chunky peanut butter,1,loaf,1.09
ciabatta,1,large,31.0
ciabatta,1,slice,31.0
cilantro,1,bunch,32.0
cilantro,1,small,16.0
cinnamon,1,can,0.53
cinnamon,1,dashes,0.33
cinnamon,1,g bottle,0.53
cinnamon,1,g can,0.53
cinnamon,1,g package,0.53
cinnamon,1,large,0.53
cinnamon,1,loaf,0.53
cinnamon,1,medium,0.53
cinnamon,1,package,0.53
cinnamon,1,stick,1.06
cinnamon chips,1,g package,1.0
cinnamon stick,1,inch,0.33
cinnamon stick,1,unit,1.3
clementine,1,unit,74.0
clove,1,g package,0.43
clove,1,whole,0.18
cloves pods,1,unit,0.18
cocoa,1,loaf,0.34
coconut,1,unit,80.0
coconut cream,1,g can,1.0
coconut cream,1,oz,28.3
coconut flakes,1,g package,0.36
coconut flour,1,large,0.41
coconut milk,1,g can,1.0
coconut milk,1,oz,28.35
coconut nectar,1,g can,1.0
coffee beans,1,whole,0.0
coffee frozen yogurt,1,g container,1.0
coffee ice cream,1,scoop,108.45
coke,1,glass,245.6
coleslaw,1,g package,1.0
collard green,1,leaf,57.0
concentrated orange juice,1,g can,1.0
concentrated orange juice,1,g container,1.0
condensed milk,1,can,245.0
condensed milk,1,g can,1.0
condensed tomato soup,1,g can,1.0
cooked bacon,1,slice,11.5
cooked beet root,1,unit,50.0
cooked boneless skinless chicken breast,1,unit,120.0
cooked pumpkin,1,large,1.04
cooked shrimp,1,g bag,1.0
cookie,1,unit,30.0
cooking oil,1,g can,0.95
cooking oil,1,medium,0.95
corn,1,g can,1.0
corn flour,1,box,0.52
corn flour,1,g can,0.52
corn flour,1,g jar,0.52
corn flour,1,g package,0.52
corn flour,1,large,0.52
corn flour,1,medium,0.52
corn kernel,1,large,0.61
corn kernel with peppers,1,g can,1.0
corn muffin mix,1,g box,1.0
corn on the cob,1,large,143.0
corn tortilla chip,1,large,3.0
cornbread mix,1,kg,28.35
cottage cheese,1,g carton,1.0
cottage cheese,1,large,0.92
couscous,1,g box,1.0
cranberry,1,can,110.0
cranberry,1,g package,0.44
cranberry,1,large,0.44
cranberry sauce,1,can,277.0
cranberry sauce,1,g can,1.0
cream cheese,1,g package,1.0
cream corn,1,g can,1.0
cream corn,1,package,1.0
cream of asparagus soup,1,g can,1.0
cream of celery soup,1,g can,1.0
cream of chicken,1,g can,1.0
cream of coconut,1,g can,1.0
cream of mushroom,1,g can,1.0
cream of mushroom soup,1,can,305.0
cream of mushroom soup,1,g can,1.0
cream of tartar,1,g package,0.61
creamed corn,1,g can,1.0
creamed corn,1,g canned,1.0
creamy tomato soup,1,g can,1.0
creme caramel yogurt,1,oz,28.35
crouton,1,g bag,1.0
crouton,1,large,14.2
crushed pineapple,1,g can,0.6
crushed pineapple,1,large,1.0
crushed tomatoes,1,g can,1.0
cucumber,1,large,280.0
cucumber,1,medium,201.0
cucumber,1,small,158.0
cucumber,1,unit,201.0
currant,1,g can,0.61
curry sauce,1,g jar,1.0
dark brown sugar,1,large,0.75
dark chocolate covered peppermint confection,1,unit,13.7
dates,1,g jar,0.62
dates,1,large,7.1
dates,1,unit,7.1
diced tomatoes,1,g can,1.0
ditalini,1,g package,1.0
dried apricot,1,unit,3.5
dried cherry,1,g package,1.0
dried cranberry,1,cup,170.0
dried cranberry,1,g package,1.0
dried cranberry,1,large,0.68
dried cranberry,1,tablespoon,8.1
dried fig,1,large,8.4
dried fig,1,unit,8.4
dried rosemary,1,inch,0.6
dry mustard,1,clove,0.41
dry oats,1,cup,100.0
egg,1,box,50.0
egg,1,bunch,50.0
egg,1,can,50.0
egg,1,clove,50.0
egg,1,g box,50.0
egg,1,g can,50.0
egg,1,g package,50.0
egg,1,kg,50.0
egg,1,large,50.0
egg,1,loaf,50.0
egg,1,medium,44.0
egg,1,package,50.0
egg,1,scoop,50.0
egg,1,small,38.0
egg,1,unit,50.0
egg,1,whole,50.0
egg noodle,1,g package,1.0
egg substitute,1,g can,1.01
egg substitute,1,large,1.01
egg white,1,g package,1.03
egg white,1,large,33.0
egg white,1,loaf,33.0
egg white,1,medium,33.0
egg white,1,unit,33.0
egg yolk,1,box,17.0
egg yolk,1,large,17.0
egg yolk,1,medium,17.0
egg yolk,1,unit,17.0
eggnog,1,cup,254.0
eggnog,1,large,1.07
eggplant,1,medium,82.0
elderberry flowers,1,head,0.0
enchilada sauce,1,g can,1.0
endive,1,g bag,1.0
endive,1,head,150.0
enoki mushroom,1,g package,1.0
evaporated milk,1,can,369.0
evaporated milk,1,g can,1.0
evaporated milk,1,oz,31.5
feijoa,1,unit,50.0
fennel bulb,1,large,87.0
fennel bulb,1,small,87.0
feta cheese,1,slice,28.35
fig,1,unit,50.0
flaxseed,1,large,0.62
flaxseed,1,unit,2.3
flour,1,clove,0.53
flour,1,g bottle,0.53
flour,1,g can,0.53
flour,1,g jar,0.53
flour,1,g package,0.53
flour,1,large,0.53
flour,1,loaf,0.53
flour,1,medium,0.53
flour,1,package,0.53
flour,1,small,0.53
french bread,1,loaf,470.0
french bread,1,slice,139.0
french bread,1,small,64.0
french onion soup,1,can,350.0
french onion soup,1,g can,1.0
french vanilla ice cream,1,scoop,66.0
french vanilla yogurt,1,unit,170.09
fresh basil,1,bunch,39.69
fresh basil,1,large,0.14
fresh basil,1,leaf,0.5
fresh basil,1,pinches,0.01
fresh cilantro,1,bunch,32.0
fresh cilantro,1,sprig,4.0
fresh cilantro,1,stalk,4.0
fresh dill,1,sprig,0.2
fresh galangal,1,piece,12.0
fresh herbs,1,bunch,2.75
fresh herbs,1,g package,1.0
fresh mint,1,bunch,11.4
fresh mint,1,handful,24.0
fresh mint,1,leaf,1.0
fresh mint,1,leaves,1.0
fresh mint,1,small bunch,2.0
fresh mint,1,sprig,2.0
fresh mint,1,unit,1.0
fresh oregano,1,sprig,1.0
fresh parsley,1,bunch,3.8
fresh parsley,1,handfull,40.0
fresh parsley,1,large,0.04
fresh parsley,1,small bunch,3.8
fresh parsley,1,sprig,3.8
fresh peppermint,1,bunch,3.2
fresh rosemary,1,sprig,0.7
fresh rosemary,1,teaspoon,0.57
fresh sage,1,large,0.5
fresh sage,1,leaf,0.5
fresh spinach,1,g bag,1.0
fresh spinach,1,large,1.5
fresh thyme,1,sprig,0.8
frozen apple,1,unit,0.49
frozen baby lima beans,1,g package,1.0
frozen banana,1,large,136.0
frozen banana,1,medium,118.0
frozen banana,1,medium size,118.0
frozen banana,1,slice,11.8
frozen banana,1,small,101.0
frozen banana,1,unit,118.0
frozen banana,1,whole,118.0
frozen berry,1,unit,5.0
frozen berry juice,1,oz,29.63
frozen blackberry,1,handful,144.0
frozen blackberry,1,unit,6.5
frozen blood orange,1,unit,140.0
frozen blueberry,1,g bag,1.0
frozen blueberry,1,g package,1.0
frozen blueberry,1,unit,1.36
frozen broccoli,1,g package,1.0
frozen butter,1,tablespoon,14.0
frozen cantaloupe,1,small,248.0
frozen carrot,1,medium sized,61.0
frozen cheese ravioli,1,g package,1.0
frozen cherries,1,unit,8.33
frozen cherries,1,whole,155.0
frozen cherry,1,unit,8.2
frozen concentrated apple juice,1,g container,1.0
frozen concentrated grape juice,1,g can,1.0
frozen concentrated lemonade,1,bar,0.0
frozen concentrated lemonade,1,g can,1.0
frozen concentrated limeade,1,g can,1.0
frozen concentrated orange juice,1,g can,1.0
frozen concentrated strawberry daiquiri,1,g can,1.0
frozen corn,1,g package,1.0
frozen corn kernels,1,g package,1.0
frozen cranberry,1,large,0.44
frozen currant,1,cup,112.0
frozen fig,1,unit,50.0
frozen fruit,1,g package,1.0
frozen fruit,1,unit,91.0
frozen grape,1,unit,4.9
frozen green bean,1,g package,1.0
frozen green beans,1,g package,1.0
frozen mango,1,large,165.0
frozen mango,1,slice,16.5
frozen mango,1,unit,165.0
frozen mixed berry,1,g bag,1.0
frozen mixed berry,1,g package,1.0
frozen mixed vegetables,1,g bag,1.0
frozen onion,1,medium,110.0
frozen orange,1,unit,140.0
frozen orange juice,1,g can,1.0
frozen orange juice,1,g container,1.0
frozen peach,1,g bag,1.0
frozen peach,1,g package,1.0
frozen peach,1,medium,150.0
frozen peach,1,slice,17.5
frozen peach,1,slices,17.5
frozen peach,1,unit,16.5
frozen peas and carrots,1,g bag,1.0
frozen pineapple,1,chunks,20.0
frozen plum,1,half,33.0
frozen raspberry,1,bag,336.0
frozen raspberry,1,g bag,1.0
frozen raspberry,1,g package,1.0
frozen raspberry,1,unit,2.0
frozen spinach,1,g box,1.0
frozen spinach,1,g package,1.0
frozen strawberries,1,g bag,1.0
frozen strawberries,1,g box,1.0
frozen strawberries,1,g package,1.0
frozen strawberries,1,unit,18.0
frozen strawberry,1,bag,226.79
frozen strawberry,1,g bag,1.0
frozen strawberry,1,g package,1.0
frozen strawberry,1,large,18.0
frozen strawberry,1,medium,221.0
frozen strawberry,1,package,226.79
frozen strawberry,1,unit,18.0
frozen tomato,1,medium sized,123.0
frozen yogurt,1,scoop,87.0
fruit baby food,1,g jar,1.0
fruit drink mix,1,g package,1.0
garlic,1,clove,3.0
garlic,1,cloves,3.0
garlic,1,head,30.0
garlic,1,large,3.0
garlic,1,medium,3.0
garlic,1,piece,3.0
garlic,1,small,3.0
garlic,1,unit,3.0
garlic powder,1,small,0.64
garlic toast,1,slice,59.0
gelatin mix,1,g carton,1.0
gelatin mix,1,g package,1.0
ginger ale,1,can,427.0
ginger ale,1,g can,1.0
ginger root,1,cm,6.0
ginger root,1,inch,2.0
ginger root,1,inch piece,12.0
ginger root,1,piece,12.0
ginger root,1,slice,0.0
ginger root,1,teaspoon,2.0
ginger snaps,1,small,7.0
gluten free bread,1,slice,28.0
goat cheese,1,g package,1.0
golden syrup,1,g package,1.34
graham cracker,1,unit,15.0
granny smith apple,1,large,206.0
granny smith apple,1,small,144.0
granny smith apple,1,unit,109.0
grape,1,bunch,200.0
grape,1,small bunch,147.0
grape,1,unit,4.93
grape jelly,1,g jar,1.0
grape jelly,1,jar,21.0
grape juice,1,g can,1.0
grapefruit,1,medium,246.0
grapefruit,1,unit,246.0
grated parmesan,1,handfuls,56.7
greek yogurt,1,g container,1.0
green apple,1,unit,182.0
green bean,1,g can,1.0
green bean,1,g small,1.0
green bell pepper,1,large,164.0
green bell pepper,1,medium,119.0
green bell pepper,1,small,74.0
green bell pepper,1,unit,149.0
green cauliflower,1,head,422.33
green onion,1,bunch,15.0
green onion,1,large,25.0
green onion,1,medium,15.0
green onion,1,slice,5.0
green onion,1,small,5.0
green onion,1,stalk,15.0
green onion,1,unit,15.0
green onion,1,whole,15.0
green pepper,1,large,164.0
green pepper,1,medium,119.0
green pepper,1,medium size,119.0
green pepper,1,small,74.0
green peppercorns,1,unit,2.3
green tea,1,bag,2.0
green tea,1,teabag,2.0
greens,1,head,55.0
grenadine,1,oz,28.0
ground beef,1,kg,1000.0
ground cardamom,1,small,0.25
ground cinnamon,1,g bottle,0.53
ground cinnamon,1,g can,0.53
ground cinnamon,1,g package,0.53
ground cinnamon,1,large,0.53
ground cinnamon,1,medium,0.53
ground cinnamon,1,package,0.53
ground cinnamon,1,teaspoon,4.0
ground clove,1,large,0.43
ground clove,1,package,0.43
ground flaxseed,1,large,0.44
ground ginger,1,g bottle,0.36
ground ginger,1,g can,0.46
ground ginger,1,large,0.36
ground ginger,1,package,0.36
ground ginger,1,teaspoon,1.8
ground lamb,1,kg,1000.0
ground nutmeg,1,large,0.46
ground nutmeg,1,package,0.46
ground nutmeg,1,teaspoon,2.2
ground paprika,1,small,2.3
ground turkey,1,g package,1.0
ground turkey,1,kg,1000.0
guava nectar,1,g can,1.0
half and half,1,cup,240.0
ham,1,slice,23.0
hard boiled egg,1,large,50.0
hard candy,1,unit,6.0
heavy cream,1,oz,29.8
heavy cream,1,teaspoon,4.8
hemp seed,1,scoop,80.0
hickory smoked bacon,1,slice,28.0
honey,1,g bottle,1.43
honey,1,large,1.43
honey grahams,1,g bag,1.0
honeydew,1,slice,128.0
honeydew,1,small,1280.0
honeydew,1,unit,1280.0
hot fudge sauce,1,g box,1.0
hunts tomato sauce,1,g can,1.0
ice,1,dozen,168.0
ice,1,handful,56.0
ice,1,handfuls,56.0
ice,1,large,14.0
ice,1,medium,14.0
ice,1,piece,14.0
ice,1,small,14.0
ice,1,tray,224.0
ice,1,whole,14.0
ice cream,1,scoop,66.0
ice cream,1,small,66.0
iceberg lettuce,1,head,539.33
instant coffee,1,scoop,14.9
instant maple brown sugar oatmeal,1,g package,1.0
italian bread,1,slice,20.0
italian dressing,1,g package,1.0
jalapeno,1,g can,1.0
jalapeno,1,medium,14.0
jalapeno,1,small,14.0
jalapeno pepper,1,large,14.0
jalapeno pepper,1,medium,14.0
jalapeno pepper,1,package,14.0
jalapeno pepper,1,small,14.0
juice,1,g bottle,1.0
kalamata olives,1,large,2.88
kale,1,bunch,16.0
kale,1,leaf,57.0
kale,1,leaves,57.0
ketchup,1,g bottle,1.0
ketchup,1,kg,1000.0
key lime pie yogurt,1,g container,1.0
kidney beans,1,g can,1.0
kiwi,1,large,69.0
kiwi,1,medium,69.0
kiwi,1,small,69.0
kiwi,1,whole,69.0
kohlrabi,1,large,135.0
kumquat,1,unit,19.0
lean ground beef,1,kg,1000.0
lean ground turkey,1,g package,1.0
leek,1,large,89.0
leek,1,medium,89.0
lemon,1,large,84.0
lemon,1,slice,7.0
lemon,1,slices,8.4
lemon,1,small,84.0
lemon,1,tbsp,15.25
lemon,1,unit,84.0
lemon curd,1,g jar,1.0
lemon juice,1,unit,56.8
lemon lime soda,1,can,369.0
lemon lime soda,1,g can,1.0
lemon soda,1,g can,1.0
lemon sorbet,1,scoop,98.11
lemon verbena leaves,1,medium,0.62
lemon yogurt,1,g carton,1.0
lemon yogurt,1,g container,1.0
lemon zest,1,g jar,6.0
lemon zest,1,large,6.0
lemon zest,1,medium,6.0
lemon zest,1,package,0.41
lemon zest,1,piece,0.41
lemon zest,1,strip,6.0
lemon zest,1,zest,2.0
lemonade,1,g can,1.0
lemonade drink mix,1,packet,3.5
lemongrass,1,inch,2.25
lemongrass,1,piece,2.25
lemongrass,1,stalk,2.25
lentil,1,g can,1.0
lettuce,1,half,42.5
lettuce,1,head,626.0
lettuce,1,large,626.0
lettuce,1,leaf,17.0
lettuce,1,leaves,17.0
lettuce,1,small,626.0
light bread,1,slice,23.0
lime,1,medium,90.0
lime,1,slice,13.4
lime,1,unit,67.0
lime,1,whole,90.0
lime gelatin mix,1,package,84.0
lime juice,1,unit,44.0
lime sherbet,1,scoop,148.0
lime yogurt,1,g container,1.0
macadamia nut,1,g can,0.57
macaroni and cheese,1,g box,1.0
mango,1,cup,165.0
mango,1,g can,0.7
mango,1,kg,1000.0
mango,1,large,165.0
mango,1,medium,165.0
mango,1,slice,25.0
mango,1,small,165.0
mango,1,unit,165.0
mango ice cream,1,scoop,160.0
mango nectar,1,g can,1.0
mango sherbet,1,scoop,74.0
maple syrup,1,g bottle,1.34
maple syrup,1,large,1.34
maraschino cherry,1,g jar,1.0
maraschino cherry,1,g package,0.68
maraschino cherry,1,unit,5.0
margarine,1,kg,0.96
margarine,1,large,0.96
marinara sauce,1,g jar,1.0
marshmallow cream,1,g jar,1.0
mashed potatoes,1,g can,0.89
meat bone,1,unit,650.0
milk,1,clove,1.04
milk,1,cup,240.0
milk,1,g box,1.04
milk,1,g can,1.04
milk,1,g package,245.0
milk,1,glass,245.0
milk,1,large,1.04
milk,1,oz,28.35
milk,1,package,1.04
milk,1,slice,245.0
milk mix,1,package,46.0
milk mix,1,packet,46.0
mixed berry,1,g bag,1.0
mixed greens,1,g bag,1.0
mixed greens,1,g package,1.0
mixed nut,1,g package,0.57
mixed nut,1,medium,0.57
mixed salad greens,1,g bag,1.0
mixed salad greens,1,g package,1.0
mixed vegetables,1,can,287.88
mixed vegetables,1,g can,1.0
molasses,1,g box,1.42
molasses,1,g can,1.42
molasses,1,large,1.42
molasses,1,tablespoon,17.0
mozzarella cheese,1,g can,1.0
mozzarella cheese,1,slice,28.33
muenster cheese,1,slice,28.0
muffin mix,1,g box,1.0
mushroom,1,can,70.0
mushroom,1,g can,1.0
mushroom,1,g container,1.0
mushroom,1,g jar,1.0
mushroom,1,g package,1.0
mushroom,1,kg,1000.0
mushroom,1,large,23.0
mushroom,1,medium,18.0
mushroom,1,slice,2.0
mushroom soup mix,1,g package,1.0
napa cabbage,1,leaf,109.0
natural grapefruit juice,1,unit,247.0
natural lemon juice,1,unit,56.8
natural lime juice,1,unit,44.0
natural orange juice,1,unit,83.0
nectarine,1,large,156.0
nectarine,1,medium,142.0
nectarine,1,unit,156.0
new potato,1,g can,1.0
new potato,1,kg,1000.0
nutmeg,1,g can,0.46
nutmeg,1,g package,0.46
nutmeg,1,large,0.46
